Time	"Time Code"	"Country Name"	"Country Code"	"Diabetes prevalence (% of population ages 20 to 79) [SH.STA.DIAB.ZS]"	"Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]"	"Hospital beds (per 1,000 people) [SH.MED.BEDS.ZS]"	"Incidence of HIV, all (per 1,000 uninfected population) [SH.HIV.INCD.TL.P3]"	"Incidence of malaria (per 1,000 population at risk) [SH.MLR.INCD.P3]"	"Incidence of tuberculosis (per 100,000 people) [SH.TBS.INCD]"	"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]"	"Mortality rate, adult, female (per 1,000 female adults) [SP.DYN.AMRT.FE]"	"Mortality rate, adult, male (per 1,000 male adults) [SP.DYN.AMRT.MA]"	"Mortality rate, infant (per 1,000 live births) [SP.DYN.IMRT.IN]"	"Number of infant deaths [SH.DTH.IMRT]"	"Number of maternal deaths [SH.MMR.DTHS]"	"Number of neonatal deaths [SH.DTH.NMRT]"	"Number of surgical procedures (per 100,000 population) [SH.SGR.PROC.P5]"	"People using safely managed drinking water services, rural (% of rural population) [SH.H2O.SMDW.RU.ZS]"	"People using safely managed drinking water services, urban (% of urban population) [SH.H2O.SMDW.UR.ZS]"	"People using safely managed drinking water services (% of population) [SH.H2O.SMDW.ZS]"	"Physicians (per 1,000 people) [SH.MED.PHYS.ZS]"	"Population ages 0-14 (% of total population) [SP.POP.0014.TO.ZS]"	"Population ages 15-64 (% of total population) [SP.POP.1564.TO.ZS]"	"Population ages 65 and above, total [SP.POP.65UP.TO]"	"Poverty gap at $1.90 a day (2011 PPP) (%) [SI.POV.GAPS]"	"Poverty gap at $3.20 a day (2011 PPP) (%) [SI.POV.LMIC.GP]"	"Poverty gap at $5.50 a day (2011 PPP) (%) [SI.POV.UMIC.GP]"	"Pregnant women receiving prenatal care (%) [SH.STA.ANVC.ZS]"
2014	"YR2014"	"Afghanistan"	"AFG"	""	"5.163"	"0.5"	"0.03"	"12.6663736937709"	"189"	"62.966"	"211.026"	"252.93"	"55.2"	"64829"	"9300"	"49416"	""	""	""	""	"0.2983"	"45.6405891930531"	"51.9078359358186"	"818110"	""	""	""	"63.2"
2014	"YR2014"	"Albania"	"ALB"	""	"1.688"	""	"0.04"	""	"16"	"77.813"	"51.85"	"101.598"	"8.8"	"314"	"6"	"210"	""	""	""	"69.9037022596908"	""	"19.220282394292"	"68.5990253098344"	"351913"	"0.2"	"2.5"	"11.7"	""
2014	"YR2014"	"Algeria"	"DZA"	""	"3.022"	""	"0.04"	"0"	"72"	"75.878"	"85.768"	"108.786"	"21.9"	"21477"	"1100"	"15574"	""	""	""	""	""	"28.2642818158154"	"66.0025981091413"	"2231542"	""	""	""	""
2014	"YR2014"	"American Samoa"	"ASM"	""	""	""	""	""	"6.4"	""	""	""	""	""	""	""	""	""	""	"12.5458424128244"	""	""	""	""	""	""	""	""
2014	"YR2014"	"Andorra"	"AND"	""	""	""	""	""	"8.7"	""	""	""	"3.5"	"2"	""	"1"	"5178"	""	""	"90.6399978177792"	""	""	""	""	""	""	""	""
2014	"YR2014"	"Angola"	"AGO"	""	"5.864"	""	"0.99"	"187.943235955555"	"370"	"58.776"	"209.339"	"282.85"	"60.5"	"69089"	"3000"	"36745"	""	""	""	""	""	"47.1771593108235"	"50.5197967810515"	"620481"	""	""	""	""
2014	"YR2014"	"Antigua and Barbuda"	"ATG"	""	"2.001"	"3.55"	""	""	"3.7"	"76.349"	"108.3"	"154.604"	"7.1"	"10"	"1"	"7"	""	""	""	""	""	"22.8927637691493"	"69.1460858667704"	"7369"	""	""	""	""
2014	"YR2014"	"Argentina"	"ARG"	""	"2.312"	"4.84"	"0.14"	"0"	"25"	"75.913"	"83.067"	"154.008"	"10.8"	"8090"	"320"	"5239"	""	""	""	""	""	"25.3681294857948"	"64.0154698523561"	"4529965"	"0.4"	"1.1"	"3.7"	""
2014	"YR2014"	"Armenia"	"ARM"	""	"1.732"	"4.16"	"0.06"	"0"	"57"	"74.273"	"76.153"	"177.721"	"13.5"	"590"	"12"	"358"	""	""	""	"75.961240059848"	"2.8928"	"19.8677452239709"	"69.2929118128669"	"315685"	"0.2"	"2.3"	"13.2"	""
2014	"YR2014"	"Aruba"	"ABW"	""	"1.834"	""	""	""	"2.2"	"75.583"	"72.534"	"116.999"	""	""	""	""	""	""	""	""	""	"19.1117235531058"	"69.1811050937614"	"12149"	""	""	""	""
